owner,source,kind,language,url,status,classification,finalUrl,redirected,mime,error
b3da086e-1dd7-43c3-a148-a94bd75d44b9:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2022/22_08_11_ESG_En-la-Industria-Minera-Mexicana-3_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2022/22_08_11_ESG_En-la-Industria-Minera-Mexicana-3_ESP.pdf,false,application/pdf,
b3da086e-1dd7-43c3-a148-a94bd75d44b9:en,project-public,public-source-cta,en,https://www.vonwobeser.com/images/PDF_news/2022/22_08_11_ESG_En-la-Industria-Minera-Mexicana-3_ENG.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2022/22_08_11_ESG_En-la-Industria-Minera-Mexicana-3_ENG.pdf,false,application/pdf,
b3da086e-1dd7-43c3-a148-a94bd75d44b9:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2022/22_08_11_ESG_En-la-Industria-Minera-Mexicana-3_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2022/22_08_11_ESG_En-la-Industria-Minera-Mexicana-3_ESP.pdf,false,application/pdf,
0dddeaf9-ed0e-43f9-9419-2a437feefdbe:es,project-public,public-source-cta,es,https://www.vonwobeser.com/images/PDF/2022/Preparate_Para_el_Proximo_Cisne1.pdf,206,correcto,https://www.vonwobeser.com/images/PDF/2022/Preparate_Para_el_Proximo_Cisne1.pdf,false,application/pdf,
0dddeaf9-ed0e-43f9-9419-2a437feefdbe:en,project-public,public-source-cta,en,https://www.vonwobeser.com/images/PDF/2022/Preparate_Para_el_Proximo_Cisne1.pdf,206,correcto,https://www.vonwobeser.com/images/PDF/2022/Preparate_Para_el_Proximo_Cisne1.pdf,false,application/pdf,
33353440-ab57-4435-b33d-a3b479cd2f5e:es,project-public,public-source-cta,es,https://www.vonwobeser.com/images/PDF_news/2021/21_10_12_MINERIA_ESG_ING.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2021/21_10_12_MINERIA_ESG_ING.pdf,false,application/pdf,
33353440-ab57-4435-b33d-a3b479cd2f5e:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2022/22_04_01_MINERIA_ESG_ESP-Pt2.pdf,206,correcto,http://localhost:5050/images/PDF_news/2022/22_04_01_MINERIA_ESG_ESP-Pt2.pdf,false,application/pdf,
33353440-ab57-4435-b33d-a3b479cd2f5e:en,project-public,public-source-cta,en,https://www.vonwobeser.com/images/PDF_news/2021/21_10_12_MINERIA_ESG_ING.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2021/21_10_12_MINERIA_ESG_ING.pdf,false,application/pdf,
33353440-ab57-4435-b33d-a3b479cd2f5e:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2022/22_04_01_MINERIA_ESG_ESP-Pt2.pdf,206,correcto,http://localhost:5050/images/PDF_news/2022/22_04_01_MINERIA_ESG_ESP-Pt2.pdf,false,application/pdf,
13f214d4-71b3-4284-8e23-d7882ad83bd1:es,project-public,public-source-cta,es,https://expansion.mx/opinion/2022/01/03/negocio-contribuya-cambiar-el-mundo,200,correcto,https://expansion.mx/opinion/2022/01/03/negocio-contribuya-cambiar-el-mundo,false,text/html;charset=UTF-8,
13f214d4-71b3-4284-8e23-d7882ad83bd1:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2022/Tu-negocio-contribuye-a-cambiar-el-mundo_-Considera-una-perspectiva-ESG.pdf,206,correcto,http://localhost:5050/images/PDF_news/2022/Tu-negocio-contribuye-a-cambiar-el-mundo_-Considera-una-perspectiva-ESG.pdf,false,application/pdf,
13f214d4-71b3-4284-8e23-d7882ad83bd1:en,project-public,public-source-cta,en,https://expansion.mx/opinion/2022/01/03/negocio-contribuya-cambiar-el-mundo,200,correcto,https://expansion.mx/opinion/2022/01/03/negocio-contribuya-cambiar-el-mundo,false,text/html;charset=UTF-8,
13f214d4-71b3-4284-8e23-d7882ad83bd1:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2022/Tu-negocio-contribuye-a-cambiar-el-mundo_-Considera-una-perspectiva-ESG.pdf,206,correcto,http://localhost:5050/images/PDF_news/2022/Tu-negocio-contribuye-a-cambiar-el-mundo_-Considera-una-perspectiva-ESG.pdf,false,application/pdf,
26a2073b-ad34-41c5-88b2-052ab0402f86:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_12_17_DERECHOS_FUNDAMENTALES_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_12_17_DERECHOS_FUNDAMENTALES_ESG_ESP.pdf,false,application/pdf,
26a2073b-ad34-41c5-88b2-052ab0402f86:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_12_17_DERECHOS_FUNDAMENTALES_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_12_17_DERECHOS_FUNDAMENTALES_ESG_ESP.pdf,false,application/pdf,
